"ID","Data.Source","Sequence.Length","Sequence.Quality","Collection.Date","Country","Location","GenBank","GISAID","Genome.Warehouse","NMDC","CNGBdb"
"EPI_ISL_418021","GISAID",29763,"High","2020/3/16","Portugal","Portugal",0,1,0,0,0
"EPI_ISL_418022","GISAID",29763,"High","2020/3/15","Portugal","Portugal",0,1,0,0,0
"EPI_ISL_418023","GISAID",29763,"High","2020/3/17","Portugal","Portugal",0,1,0,0,0
"EPI_ISL_418024","GISAID",29763,"High","2020/3/17","Portugal","Portugal",0,1,0,0,0
"EPI_ISL_418025","GISAID",29763,"High","2020/3/17","Portugal","Portugal",0,1,0,0,0
"EPI_ISL_418026","GISAID",29760,"High","2020/3/17","Portugal","Portugal",0,1,0,0,0
"EPI_ISL_418028","GISAID",29751,"High","2020/3/13","United States","United States / Washington",0,1,0,0,0
"EPI_ISL_418029","GISAID",29883,"High","2020/3/16","United States","United States / Washington",0,1,0,0,0
"EPI_ISL_418030","GISAID",29864,"High","2020/3/16","United States","United States / Washington",0,1,0,0,0
"EPI_ISL_418032","GISAID",29638,"High","2020/3/16","United States","United States / Washington",0,1,0,0,0
"EPI_ISL_418033","GISAID",29637,"High","2020/3/16","United States","United States / Washington",0,1,0,0,0
"EPI_ISL_418034","GISAID",29724,"High","2020/3/16","United States","United States / Washington",0,1,0,0,0
"EPI_ISL_418036","GISAID",29757,"High","2020/3/13","United States","United States / Washington",0,1,0,0,0
"EPI_ISL_418037","GISAID",29865,"High","2020/3/16","United States","United States / Washington",0,1,0,0,0
"EPI_ISL_417931","GISAID",29892,"High","2020/3/18","United States","United States / California / San Francisco",0,1,0,0,0
"EPI_ISL_417932","GISAID",29899,"High","2020/3/18","United States","United States / California / San Francisco",0,1,0,0,0
"EPI_ISL_417933","GISAID",29895,"High","2020/3/18","United States","United States / California / San Francisco",0,1,0,0,0
"EPI_ISL_417935","GISAID",29899,"High","2020/3/18","United States","United States / California / San Francisco",0,1,0,0,0
"EPI_ISL_417937","GISAID",29902,"High","2020/3/18","United States","United States / California / San Francisco",0,1,0,0,0
"EPI_ISL_417938","GISAID",29887,"High","2020/3/18","United States","United States / California / San Francisco",0,1,0,0,0
"EPI_ISL_417939","GISAID",29890,"High","2020/3/18","United States","United States / California / San Francisco",0,1,0,0,0
"EPI_ISL_417946","GISAID",29831,"High","2020/3/18","Congo","Congo / Kinshasa",0,1,0,0,0
"EPI_ISL_417947","GISAID",29821,"High","2020/3/19","Congo","Congo / Kinshasa",0,1,0,0,0
"EPI_ISL_417948","GISAID",29797,"High","2020/3/19","Congo","Congo / Kinshasa",0,1,0,0,0
"EPI_ISL_417950","GISAID",29847,"High","2020/3/20","Congo","Congo / Kinshasa",0,1,0,0,0
"EPI_ISL_417952","GISAID",29804,"High","2020/3/9","Spain","Spain / Madrid",0,1,0,0,0
"EPI_ISL_417954","GISAID",29819,"High","2020/3/12","Spain","Spain / Madrid",0,1,0,0,0
"EPI_ISL_417956","GISAID",29784,"High","2020/3/11","Spain","Spain / Madrid",0,1,0,0,0
"EPI_ISL_417957","GISAID",29784,"High","2020/3/12","Spain","Spain / Madrid",0,1,0,0,0
"EPI_ISL_417958","GISAID",29903,"High","2020/3/24","United States","United States / Utah",0,1,0,0,0
"EPI_ISL_417961","GISAID",29818,"High","2020/3/12","Spain","Spain / Madrid",0,1,0,0,0
"EPI_ISL_417963","GISAID",29819,"High","2020/3/12","Spain","Spain / Madrid",0,1,0,0,0
"EPI_ISL_417964","GISAID",29902,"High","2020/3/24","United States","United States / Utah",0,1,0,0,0
"EPI_ISL_417965","GISAID",29895,"High","2020/3/24","United States","United States / Utah",0,1,0,0,0
"EPI_ISL_417967","GISAID",29819,"High","2020/3/12","Spain","Spain / Madrid",0,1,0,0,0
"EPI_ISL_417969","GISAID",29819,"High","2020/3/9","Spain","Spain / Madrid",0,1,0,0,0
"EPI_ISL_417971","GISAID",29903,"High","2020/3/24","United States","United States / Utah",0,1,0,0,0
"EPI_ISL_417972","GISAID",29819,"High","2020/3/9","Spain","Spain / Madrid",0,1,0,0,0
"EPI_ISL_417974","GISAID",29899,"High","2020/3/24","United States","United States / Utah",0,1,0,0,0
"EPI_ISL_417975","GISAID",29819,"High","2020/3/9","Spain","Spain / Madrid",0,1,0,0,0
"EPI_ISL_417976","GISAID",29903,"High","2020/3/24","United States","United States / Utah",0,1,0,0,0
"EPI_ISL_417978","GISAID",29819,"High","2020/3/9","Spain","Spain / Madrid",0,1,0,0,0
"EPI_ISL_417979","GISAID",29819,"High","2020/3/3","Spain","Spain / Madrid",0,1,0,0,0
"EPI_ISL_417980","GISAID",29819,"High","2020/3/3","Spain","Spain / Madrid",0,1,0,0,0
"EPI_ISL_417981","GISAID",29819,"High","2020/3/2","Spain","Spain / Madrid",0,1,0,0,0
"EPI_ISL_417880","GISAID",29900,"High","2020/3/8","Slovakia","Slovakia / Martin",0,1,0,0,0
"EPI_ISL_417917","GISAID",29903,"High","2020/3/20","Malaysia","Malaysia / Kuala Lumpur",0,1,0,0,0
"EPI_ISL_417918","GISAID",29903,"High","2020/3/18","Malaysia","Malaysia / Kuala Lumpur",0,1,0,0,0
"MT253696","GenBank",29781,"High","2020/1/23","China","China / Zhejiang / Hangzhou",1,0,0,0,0
"MT253697","GenBank",29781,"High","2020/1/23","China","China / Zhejiang / Hangzhou",1,0,0,0,0
"MT253698","GenBank",29781,"High","2020/1/23","China","China / Zhejiang / Hangzhou",1,0,0,0,0
"MT253699","GenBank",29781,"High","2020/1/24","China","China / Zhejiang / Hangzhou",1,0,0,0,0
"MT253700","GenBank",29781,"High","2020/1/25","China","China / Zhejiang / Hangzhou",1,0,0,0,0
"MT253701","GenBank",29781,"High","2020/1/21","China","China / Zhejiang / Hangzhou",1,0,0,0,0
"MT253702","GenBank",29781,"High","2020/1/21","China","China / Zhejiang / Hangzhou",1,0,0,0,0
"MT253703","GenBank",29781,"High","2020/1/25","China","China / Zhejiang / Hangzhou",1,0,0,0,0
"MT253704","GenBank",29781,"High","2020/1/25","China","China / Zhejiang / Hangzhou",1,0,0,0,0
"MT253705","GenBank",29781,"High","2020/1/22","China","China / Zhejiang / Hangzhou",1,0,0,0,0
"MT253706","GenBank",29781,"High","2020/1/22","China","China / Zhejiang / Hangzhou",1,0,0,0,0
"MT253707","GenBank",29781,"High","2020/1/25","China","China / Zhejiang / Hangzhou",1,0,0,0,0
"MT253708","GenBank",29781,"High","2020/1/21","China","China / Zhejiang / Hangzhou",1,0,0,0,0
"MT253709","GenBank",29781,"High","2020/1/21","China","China / Zhejiang / Hangzhou",1,0,0,0,0
"MT253710","GenBank",29781,"High","2020/1/21","China","China / Zhejiang / Hangzhou",1,0,0,0,0
"EPI_ISL_417835","GISAID",29903,"High","2020/3/16","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417836","GISAID",29903,"High","2020/3/16","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417837","GISAID",29903,"High","2020/3/16","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417838","GISAID",29903,"High","2020/3/16","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417839","GISAID",29903,"High","2020/3/16","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417840","GISAID",29903,"High","2020/3/2","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417842","GISAID",29903,"High","2020/3/3","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417844","GISAID",29903,"High","2020/3/4","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417846","GISAID",29903,"High","2020/3/4","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417851","GISAID",29903,"High","2020/3/5","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417852","GISAID",29903,"High","2020/3/6","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417853","GISAID",29903,"High","2020/3/6","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417854","GISAID",29903,"High","2020/3/13","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417855","GISAID",29903,"High","2020/3/7","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417857","GISAID",29903,"High","2020/3/7","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417861","GISAID",29903,"High","2020/3/9","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417862","GISAID",29903,"High","2020/3/9","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417863","GISAID",29903,"High","2020/3/9","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417864","GISAID",29903,"High","2020/3/15","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417865","GISAID",29903,"High","2020/3/9","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417866","GISAID",29903,"High","2020/3/9","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417867","GISAID",29903,"High","2020/3/9","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417868","GISAID",29903,"High","2020/3/9","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417871","GISAID",29903,"High","2020/3/11","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417872","GISAID",29903,"High","2020/3/10","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417873","GISAID",29903,"High","2020/3/10","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417876","GISAID",29903,"High","2020/3/10","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417877","GISAID",29903,"High","2020/3/6","Slovakia","Slovakia / Kostoliste",0,1,0,0,0
"EPI_ISL_417878","GISAID",29863,"High","2020/3/7","Slovakia","Slovakia / Bratislava",0,1,0,0,0
"EPI_ISL_417879","GISAID",29903,"High","2020/3/6","Slovakia","Slovakia / Kosice",0,1,0,0,0
"EPI_ISL_417783","GISAID",29903,"High","2020/3/11","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417784","GISAID",29903,"High","2020/3/12","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417785","GISAID",29903,"High","2020/3/12","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417786","GISAID",29903,"High","2020/3/12","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417787","GISAID",29903,"High","2020/3/12","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417788","GISAID",29903,"High","2020/3/12","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417789","GISAID",29903,"High","2020/3/12","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417790","GISAID",29903,"High","2020/3/12","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417791","GISAID",29903,"High","2020/3/12","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417793","GISAID",29903,"High","2020/3/13","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417795","GISAID",29903,"High","2020/3/13","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417796","GISAID",29903,"High","2020/3/13","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417797","GISAID",29894,"High","2020/3/13","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417798","GISAID",29903,"High","2020/3/13","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417799","GISAID",29903,"High","2020/3/13","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417800","GISAID",29903,"High","2020/3/2","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417801","GISAID",29903,"High","2020/3/13","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417802","GISAID",29903,"High","2020/3/13","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417803","GISAID",29903,"High","2020/3/13","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417804","GISAID",29903,"High","2020/3/13","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417805","GISAID",29903,"High","2020/3/13","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417806","GISAID",29903,"High","2020/3/13","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417808","GISAID",29903,"High","2020/3/15","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417809","GISAID",29903,"High","2020/3/15","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417810","GISAID",29903,"High","2020/3/13","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417812","GISAID",29903,"High","2020/3/14","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417813","GISAID",29903,"High","2020/3/15","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417814","GISAID",29903,"High","2020/3/16","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417815","GISAID",29903,"High","2020/3/16","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417817","GISAID",29903,"High","2020/3/2","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417818","GISAID",29903,"High","2020/3/16","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417819","GISAID",29903,"High","2020/3/15","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417820","GISAID",29903,"High","2020/3/16","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417822","GISAID",29903,"High","2020/3/16","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417823","GISAID",29903,"High","2020/3/16","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417824","GISAID",29903,"High","2020/3/16","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417825","GISAID",29903,"High","2020/3/16","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417826","GISAID",29903,"High","2020/3/16","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417827","GISAID",29903,"High","2020/3/16","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417829","GISAID",29903,"High","2020/3/16","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417830","GISAID",29903,"High","2020/3/16","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417831","GISAID",29903,"High","2020/3/16","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417832","GISAID",29903,"High","2020/3/16","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417833","GISAID",29903,"High","2020/3/16","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417834","GISAID",29903,"High","2020/3/16","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417715","GISAID",29903,"High","2020/3/4","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417716","GISAID",29903,"High","2020/3/16","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417717","GISAID",29903,"High","2020/3/16","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417720","GISAID",29903,"High","2020/3/12","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417722","GISAID",29903,"High","2020/3/11","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417724","GISAID",29903,"High","2020/3/16","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417725","GISAID",29903,"High","2020/3/14","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417727","GISAID",29903,"High","2020/3/12","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417728","GISAID",29903,"High","2020/3/8","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417730","GISAID",29903,"High","2020/3/10","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417731","GISAID",29903,"High","2020/3/6","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417732","GISAID",29903,"High","2020/3/10","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417733","GISAID",29904,"High","2020/3/16","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417734","GISAID",29903,"High","2020/3/2","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417735","GISAID",29903,"High","2020/3/12","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417736","GISAID",29903,"High","2020/3/1","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417737","GISAID",29903,"High","2020/3/15","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417739","GISAID",29903,"High","2020/3/13","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417740","GISAID",29903,"High","2020/3/15","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417741","GISAID",29903,"High","2020/3/13","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417742","GISAID",29903,"High","2020/3/16","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417743","GISAID",29903,"High","2020/3/16","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417744","GISAID",29903,"High","2020/3/13","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417745","GISAID",29903,"High","2020/3/13","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417746","GISAID",29903,"High","2020/3/16","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417748","GISAID",29903,"High","2020/3/11","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417749","GISAID",29903,"High","2020/3/8","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417750","GISAID",29903,"High","2020/3/16","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417752","GISAID",29903,"High","2020/3/16","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417753","GISAID",29903,"High","2020/3/16","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417754","GISAID",29903,"High","2020/3/16","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417755","GISAID",29903,"High","2020/3/13","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417757","GISAID",29903,"High","2020/3/6","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417758","GISAID",29903,"High","2020/3/14","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417759","GISAID",29903,"High","2020/3/13","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417761","GISAID",29903,"High","2020/3/10","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417762","GISAID",29897,"High","2020/3/16","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417763","GISAID",29903,"High","2020/3/16","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417766","GISAID",29903,"High","2020/3/16","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417770","GISAID",29903,"High","2020/3/11","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417771","GISAID",29903,"High","2020/3/12","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417772","GISAID",29903,"High","2020/3/14","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417773","GISAID",29903,"High","2020/3/3","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417774","GISAID",29903,"High","2020/3/16","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417775","GISAID",29903,"High","2020/3/14","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417777","GISAID",29903,"High","2020/3/10","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417779","GISAID",29903,"High","2020/3/11","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417652","GISAID",29903,"High","2020/3/18","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417653","GISAID",29903,"High","2020/3/18","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417654","GISAID",29903,"High","2020/3/18","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417655","GISAID",29903,"High","2020/3/14","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417659","GISAID",29903,"High","2020/3/14","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417663","GISAID",29903,"High","2020/3/14","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417665","GISAID",29903,"High","2020/3/14","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417666","GISAID",29900,"High","2020/3/15","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417667","GISAID",29903,"High","2020/3/15","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417672","GISAID",29903,"High","2020/3/16","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417676","GISAID",29903,"High","2020/3/16","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417677","GISAID",29903,"High","2020/3/4","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417678","GISAID",29903,"High","2020/3/16","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417680","GISAID",29903,"High","2020/3/15","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417681","GISAID",29903,"High","2020/3/4","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417682","GISAID",29903,"High","2020/3/10","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417683","GISAID",29903,"High","2020/3/5","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417684","GISAID",29903,"High","2020/3/6","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417685","GISAID",29903,"High","2020/3/16","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417688","GISAID",29903,"High","2020/3/1","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417690","GISAID",29903,"High","2020/3/11","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417691","GISAID",29903,"High","2020/3/11","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417692","GISAID",29903,"High","2020/3/6","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417693","GISAID",29903,"High","2020/3/2","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417694","GISAID",29903,"High","2020/3/13","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417696","GISAID",29903,"High","2020/3/12","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417698","GISAID",29903,"High","2020/3/10","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417699","GISAID",29903,"High","2020/3/16","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417700","GISAID",29903,"High","2020/3/15","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417703","GISAID",29903,"High","2020/3/16","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417705","GISAID",29903,"High","2020/3/7","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417706","GISAID",29903,"High","2020/3/16","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417709","GISAID",29903,"High","2020/3/16","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417711","GISAID",29903,"High","2020/3/13","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417712","GISAID",29903,"High","2020/3/15","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417713","GISAID",29903,"High","2020/3/12","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417714","GISAID",29903,"High","2020/3/12","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417607","GISAID",29903,"High","2020/3/17","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417608","GISAID",29903,"High","2020/3/17","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417609","GISAID",29903,"High","2020/3/17","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417612","GISAID",29903,"High","2020/3/17","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417614","GISAID",29903,"High","2020/3/18","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417615","GISAID",29903,"High","2020/3/18","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417618","GISAID",29903,"High","2020/3/16","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417619","GISAID",29903,"High","2020/3/18","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417621","GISAID",29903,"High","2020/3/18","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417622","GISAID",29903,"High","2020/3/18","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417625","GISAID",29903,"High","2020/3/18","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417626","GISAID",29903,"High","2020/3/18","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417627","GISAID",29900,"High","2020/3/18","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417629","GISAID",29903,"High","2020/3/18","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417630","GISAID",29903,"High","2020/3/18","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417632","GISAID",29903,"High","2020/3/18","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417634","GISAID",29903,"High","2020/3/18","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417635","GISAID",29903,"High","2020/3/18","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417636","GISAID",29903,"High","2020/3/18","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417637","GISAID",29903,"High","2020/3/18","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417639","GISAID",29903,"High","2020/3/18","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417641","GISAID",29903,"High","2020/3/18","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417642","GISAID",29903,"High","2020/3/18","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417643","GISAID",29903,"High","2020/3/18","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417644","GISAID",29903,"High","2020/3/18","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417645","GISAID",29903,"High","2020/3/18","Iceland","Iceland / Reykjavik",0,1,0,0,0
"EPI_ISL_417646","GISAID",29903,"High","2020/3/18","Iceland","Iceland / Reykjavik",0,1,0,0,0
